Day,PJME_MW
2004-03-21,661884.0
2004-03-22,804253.0
2004-03-23,797416.0
2004-03-24,751617.0
2004-03-25,720725.0
2004-03-26,691649.0
2004-03-27,619041.0
2004-03-28,597143.0
2004-03-29,698792.0
2004-03-30,744048.0
2004-03-31,738738.0
2004-04-01,733650.0
2004-04-02,736711.0
2004-04-03,670702.0
2004-04-04,640329.0
2004-04-05,784982.0
2004-04-06,757784.0
2004-04-07,703297.0
2004-04-08,705288.0
2004-04-09,652739.0
2004-04-10,609269.0
2004-04-11,604827.0
2004-04-12,720699.0
2004-04-13,744455.0
2004-04-14,726752.0
2004-04-15,713365.0
2004-04-16,698518.0
2004-04-17,612753.0
2004-04-18,592567.0
2004-04-19,711775.0
2004-04-20,722381.0
2004-04-21,694707.0
2004-04-22,716539.0
2004-04-23,704087.0
2004-04-24,610055.0
2004-04-25,589067.0
2004-04-26,691287.0
2004-04-27,683621.0
2004-04-28,691308.0
2004-04-29,693518.0
2004-04-30,690359.0
2004-05-01,635500.0
2004-05-02,633529.0
2004-05-03,686613.0
2004-05-04,683152.0
2004-05-05,689076.0
2004-05-06,689451.0
2004-05-07,713722.0
2004-05-08,607928.0
2004-05-09,601032.0
2004-05-10,762487.0
2004-05-11,839502.0
2004-05-12,875791.0
2004-05-13,892060.0
2004-05-14,831347.0
2004-05-15,796896.0
2004-05-16,723916.0
2004-05-17,802351.0
2004-05-18,831456.0
2004-05-19,789038.0
2004-05-20,753028.0
2004-05-21,789042.0
2004-05-22,802244.0
2004-05-23,850274.0
2004-05-24,960770.0
2004-05-25,895812.0
2004-05-26,807661.0
2004-05-27,803275.0
2004-05-28,800451.0
2004-05-29,635501.0
2004-05-30,594604.0
2004-05-31,624360.0
2004-06-01,718157.0
2004-06-02,752017.0
2004-06-03,760461.0
2004-06-04,719727.0
2004-06-05,632196.0
2004-06-06,597647.0
2004-06-07,750897.0
2004-06-08,856821.0
2004-06-09,974495.0
2004-06-10,949104.0
2004-06-11,748580.0
2004-06-12,657532.0
2004-06-13,621075.0
2004-06-14,810884.0
2004-06-15,941428.0
2004-06-16,951709.0
2004-06-17,982163.0
2004-06-18,986513.0
2004-06-19,839278.0
2004-06-20,652011.0
2004-06-21,764025.0
2004-06-22,841899.0
2004-06-23,852033.0
2004-06-24,877312.0
2004-06-25,871795.0
2004-06-26,764335.0
2004-06-27,680430.0
2004-06-28,796776.0
2004-06-29,803581.0
2004-06-30,823998.0
2004-07-01,883933.0
2004-07-02,922627.0
2004-07-03,816653.0
2004-07-04,762571.0
2004-07-05,890153.0
2004-07-06,928536.0
2004-07-07,930819.0
2004-07-08,949441.0
2004-07-09,871497.0
2004-07-10,790278.0
2004-07-11,825504.0
2004-07-12,876918.0
2004-07-13,845075.0
2004-07-14,848712.0
2004-07-15,834556.0
2004-07-16,828604.0
2004-07-17,807726.0
2004-07-18,730912.0
2004-07-19,839154.0
2004-07-20,910738.0
2004-07-21,943248.0
2004-07-22,983334.0
2004-07-23,932840.0
2004-07-24,766402.0
2004-07-25,703191.0
2004-07-26,818688.0
2004-07-27,852126.0
2004-07-28,869406.0
2004-07-29,901914.0
2004-07-30,956174.0
2004-07-31,931877.0
2004-08-01,871502.0
2004-08-02,973293.0
2004-08-03,986346.0
2004-08-04,993873.0
2004-08-05,861149.0
2004-08-06,736650.0
2004-08-07,638744.0
2004-08-08,646989.0
2004-08-09,823512.0
2004-08-10,895715.0
2004-08-11,918768.0
2004-08-12,899865.0
2004-08-13,866381.0
2004-08-14,735588.0
2004-08-15,719217.0
2004-08-16,830185.0
2004-08-17,833961.0
2004-08-18,870083.0
2004-08-19,929177.0
2004-08-20,1003153.0
2004-08-21,847152.0
2004-08-22,675644.0
2004-08-23,811795.0
2004-08-24,864195.0
2004-08-25,849498.0
2004-08-26,847149.0
2004-08-27,904313.0
2004-08-28,910190.0
2004-08-29,895491.0
2004-08-30,970415.0
2004-08-31,935368.0
2004-09-01,852884.0
2004-09-02,835832.0
2004-09-03,828399.0
2004-09-04,772132.0
2004-09-05,687923.0
2004-09-06,663078.0
2004-09-07,830594.0
2004-09-08,876014.0
2004-09-09,906936.0
2004-09-10,828908.0
2004-09-11,708925.0
2004-09-12,685914.0
2004-09-13,829592.0
2004-09-14,793188.0
2004-09-15,761019.0
2004-09-16,802261.0
2004-09-17,825640.0
2004-09-18,706956.0
2004-09-19,594855.0
2004-09-20,683259.0
2004-09-21,717734.0
2004-09-22,755107.0
2004-09-23,804447.0
2004-09-24,787530.0
2004-09-25,681073.0
2004-09-26,656703.0
2004-09-27,748966.0
2004-09-28,793302.0
2004-09-29,738899.0
2004-09-30,725613.0
2004-10-01,705250.0
2004-10-02,646791.0
2004-10-03,610779.0
2004-10-04,700372.0
2004-10-05,686902.0
2004-10-06,694081.0
2004-10-07,704390.0
2004-10-08,702069.0
2004-10-09,628440.0
2004-10-10,600067.0
2004-10-11,673053.0
2004-10-12,693087.0
2004-10-13,697536.0
2004-10-14,699633.0
2004-10-15,697118.0
2004-10-16,621434.0
2004-10-17,615356.0
2004-10-18,701842.0
2004-10-19,712695.0
2004-10-20,715424.0
2004-10-21,713203.0
2004-10-22,702452.0
2004-10-23,640549.0
2004-10-24,631838.0
2004-10-25,704067.0
2004-10-26,704551.0
2004-10-27,705943.0
2004-10-28,703609.0
2004-10-29,701980.0
2004-10-30,634221.0
2004-10-31,582852.0
2004-11-01,683875.0
2004-11-02,695313.0
2004-11-03,691951.0
2004-11-04,731885.0
2004-11-05,710706.0
2004-11-06,650508.0
2004-11-07,617909.0
2004-11-08,710483.0
2004-11-09,758951.0
2004-11-10,773128.0
2004-11-11,732893.0
2004-11-12,750237.0
2004-11-13,700809.0
2004-11-14,695130.0
2004-11-15,754912.0
2004-11-16,740328.0
2004-11-17,736140.0
2004-11-18,718247.0
2004-11-19,706542.0
2004-11-20,656971.0
2004-11-21,634417.0
2004-11-22,721468.0
2004-11-23,730541.0
2004-11-24,724847.0
2004-11-25,615034.0
2004-11-26,685974.0
2004-11-27,666606.0
2004-11-28,638302.0
2004-11-29,737420.0
2004-11-30,755705.0
2004-12-01,752566.0
2004-12-02,774721.0
2004-12-03,782304.0
2004-12-04,733338.0
2004-12-05,686820.0
2004-12-06,788391.0
2004-12-07,781651.0
2004-12-08,738065.0
2004-12-09,775165.0
2004-12-10,759004.0
2004-12-11,694072.0
2004-12-12,707945.0
2004-12-13,787824.0
2004-12-14,834986.0
2004-12-15,871972.0
2004-12-16,857749.0
2004-12-17,810686.0
2004-12-18,776400.0
2004-12-19,774145.0
2004-12-20,987114.0
2004-12-21,926519.0
2004-12-22,830253.0
2004-12-23,764052.0
2004-12-24,766500.0
2004-12-25,764227.0
2004-12-26,802126.0
2004-12-27,880815.0
2004-12-28,903367.0
2004-12-29,819761.0
2004-12-30,774823.0
2004-12-31,704125.0
2005-01-01,634980.0
2005-01-02,688057.0
2005-01-03,738551.0
2005-01-04,735790.0
2005-01-05,782628.0
2005-01-06,804256.0
2005-01-07,783898.0
2005-01-08,741365.0
2005-01-09,726230.0
2005-01-10,788526.0
2005-01-11,807643.0
2005-01-12,790333.0
2005-01-13,755388.0
2005-01-14,757754.0
2005-01-15,779304.0
2005-01-16,779061.0
2005-01-17,891132.0
2005-01-18,977747.0
2005-01-19,983026.0
2005-01-20,902521.0
2005-01-21,930352.0
2005-01-22,944237.0
2005-01-23,895079.0
2005-01-24,978766.0
2005-01-25,903368.0
2005-01-26,859686.0
2005-01-27,951646.0
2005-01-28,972225.0
2005-01-29,879086.0
2005-01-30,803751.0
2005-01-31,869420.0
2005-02-01,879134.0
2005-02-02,872256.0
2005-02-03,864986.0
2005-02-04,818898.0
2005-02-05,732139.0
2005-02-06,706398.0
2005-02-07,775392.0
2005-02-08,772870.0
2005-02-09,757264.0
2005-02-10,792902.0
2005-02-11,836941.0
2005-02-12,762994.0
2005-02-13,723088.0
2005-02-14,814044.0
2005-02-15,753196.0
2005-02-16,763510.0
2005-02-17,815495.0
2005-02-18,868090.0
2005-02-19,818681.0
2005-02-20,758853.0
2005-02-21,796999.0
2005-02-22,790316.0
2005-02-23,792975.0
2005-02-24,864171.0
2005-02-25,847632.0
2005-02-26,781688.0
2005-02-27,753871.0
2005-02-28,851744.0
2005-03-01,832125.0
2005-03-02,854084.0
2005-03-03,873203.0
2005-03-04,843505.0
